region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock,Cars,PHEV,2010,Vehicles,340.0
China,Historical,EV stock,Cars,PHEV,2011,Vehicles,660.0
China,Historical,EV stock,Cars,PHEV,2012,Vehicles,920.0
China,Historical,EV stock,Cars,PHEV,2013,Vehicles,1600.0
China,Historical,EV stock,Cars,PHEV,2014,Vehicles,26000.0
China,Historical,EV stock,Cars,PHEV,2015,Vehicles,87000.0
China,Historical,EV stock,Cars,PHEV,2016,Vehicles,170000.0
China,Historical,EV stock,Cars,PHEV,2017,Vehicles,280000.0
China,Historical,EV stock,Cars,PHEV,2018,Vehicles,540000.0
China,Historical,EV stock,Cars,PHEV,2019,Vehicles,770000.0
China,Historical,EV stock,Cars,PHEV,2020,Vehicles,990000.0
China,Historical,EV stock,Cars,PHEV,2021,Vehicles,1600000.0
China,Historical,EV stock,Cars,PHEV,2022,Vehicles,3100000.0
China,Historical,EV stock,Cars,PHEV,2023,Vehicles,5800000.0
China,Historical,EV stock,Cars,PHEV,2024,Vehicles,11000000.0
